time,seconds_elapsed,z,y,x
1746521839708329500,0.03232958984375,-0.18433599217534063,-0.005621712339296937,-0.14117898749411106
1746521839718319400,0.0423193359375,-0.2471750179260969,-0.013155541910231112,-0.10364376821741461
1746521839728309500,0.0523095703125,-0.22964286836683748,-0.008916881427168845,-0.10362469819076359
1746521839738299400,0.06229931640625,-0.14343641103208063,-0.013608765570446848,-0.15655607791133225
1746521839748289300,0.072289306640625,-0.1359258892714977,-0.04031871251538396,-0.21933986634351313
1746521839758279400,0.082279541015625,-0.19037877947092055,-0.0773698746021837,-0.20969035979285836
1746521839768269300,0.092269287109375,-0.20291502043902873,-0.10905965578630566,-0.1821978841681033
1746521839778259200,0.10225927734375,-0.1595598628371954,-0.0926424817316234,-0.10327365626338869
1746521839788249600,0.11224951171875,-0.13279519003033638,-0.06623663229979575,-0.05272518962398171
1746521839798238200,0.12223828125,-0.03045826662778854,-0.038733343020081516,0.015666757546178994
1746521839808228600,0.132228515625,0.12463877158164978,-0.037906098415702576,0.08420004941578954
1746521839818218500,0.142218505859375,0.284536488071084,-0.02920388265252113,0.07156246696505696
1746521839828208400,0.15220849609375,0.3925958807736635,-0.05744352338276803,0.016464922186546025
1746521839838198500,0.162198486328125,0.3941781815290451,-0.058589624677971,-0.04131185173857957
1746521839848188400,0.1721884765625,0.37465281232595443,-0.05149886269941926,-0.08196940428689121
1746521839858178300,0.18217822265625,0.3683534199208021,-0.029753990815952418,-0.11559800804648547
1746521839868168400,0.19216845703125,0.36637832045555113,0.0008194266241043805,-0.1573152257155627
1746521839878158300,0.202158447265625,0.2673655730396509,0.003181698776036501,-0.17754081560987978
1746521839888148200,0.212148193359375,0.1428460439234972,0.016668591532483696,-0.11870613012965768
1746521839898138400,0.222138427734375,-0.23395430182516574,0.43865474437624213,0.40455220296196637
1746521839908128500,0.23212841796875,-0.13009528342187404,-0.03837050105705857,-0.21294914239309726
1746521839918118400,0.242118408203125,0.025296353819966314,-0.4172795095227658,-0.4897425420567393
1746521839928108500,0.252108642578125,-0.09149988756775855,-0.254322040136531,-0.12491283928267657
1746521839938098400,0.262098388671875,-0.02366261513829231,-0.16965565185062587,-0.009859349909052252
1746521839948088300,0.27208837890625,0.010541267758607864,-0.18638678722530602,-0.006842011381871998
1746521839958078500,0.282078369140625,-0.05513561176657676,-0.20005203222334383,-0.01935439655035734
1746521839968068400,0.292068359375,-0.16618015775978565,-0.1856163143094629,-0.08524860862065106
1746521839978058200,0.302058349609375,-0.24642215373218057,-0.15306735901273785,-0.1644569872289896
1746521839988048400,0.31204833984375,-0.26155133380293843,-0.12106595459617674,-0.18644644499067217
1746521839998038300,0.322038330078125,-0.10841361296772956,-0.18171316939108073,-0.19563081824760883
1746521840008028200,0.332028076171875,0.16567980702221394,-0.35018516441509123,-0.15243888838347047
1746521840018018600,0.3420185546875,0.1637725120961666,-0.28925759830884634,-0.09530055849235504
1746521840028008400,0.352008544921875,0.0008405424773693085,-0.28410182298086584,-0.20271200868021697
1746521840037998300,0.361998291015625,-0.14416881695985792,-0.30945640979409217,-0.23038477277532218
1746521840047988500,0.371988525390625,-0.1708259377390146,-0.2423717823628336,-0.09762764973305166
1746521840057978400,0.381978271484375,-0.22675649927556513,-0.28291707017570733,-0.04978119032764807
1746521840067967500,0.391967529296875,-0.2466951254546642,-0.30714754832983016,-0.09852300940388813
1746521840077957400,0.401957275390625,-0.11371698007285594,-0.041497693166881795,-0.0625121866828762
1746521840087947300,0.411947265625,-0.07150397824347018,0.0034337007757276293,0.043271991096716374
1746521840097937400,0.4219375,-0.143730425542593,0.059646586384996765,0.13562073231246322
1746521840107927300,0.43192724609375,-0.1912561468273401,0.15062712625376878,0.15090073729706927
1746521840117917200,0.441917236328125,-0.2584270643025636,0.14978702216781675,0.09984251277092844
1746521840127907300,0.4519072265625,-0.25898002201020714,0.20174049676693975,0.04357996106734499
1746521840137897500,0.4618974609375,-0.2237906352072954,0.2560319127943367,-0.01076017120629549
1746521840147887400,0.471887451171875,-0.14527122524380684,0.2379492166802287,-0.05765857263924554
1746521840157877500,0.48187744140625,-0.12030161916017532,0.20576113058514892,-0.1704879562226124
1746521840167867400,0.491867431640625,-0.06120645611286163,0.18080657594017682,-0.28183327526068314
1746521840177857300,0.501857177734375,0.08366261807084083,0.1294835081990808,-0.31365276550538834
1746521840187847400,0.511847412109375,0.16316110219955443,0.06652677435278892,-0.3043604018293321
1746521840197837300,0.52183740234375,0.15082944389283656,-0.016734715571254492,-0.25159860652200877
1746521840207827500,0.531827392578125,0.09507891509830951,-0.0787477388266474,-0.14060957184201106
1746521840217817300,0.5418173828125,0.01969721863865852,-0.07537205184847116,-0.0788533728918992
1746521840227807200,0.55180712890625,-0.02056055746972561,-0.062018137821927666,-0.014488324883952736
1746521840237797400,0.56179736328125,-0.01963409027457237,-0.07623049530871212,0.07109989095460623
1746521840247787500,0.57178759765625,-0.04717208554148674,-0.11688749986775218,0.09044442369807511
1746521840257777400,0.58177734375,-0.12567337532639503,-0.14595833072513342,0.005588358058966696
1746521840267767600,0.591767578125,-0.17072013927698135,-0.15848770356103778,-0.14372315555159001
1746521840277757400,0.60175732421875,-0.11951251460909842,-0.1543430049717426,-0.2597968000194989
1746521840287747300,0.611747314453125,-0.056525604820251464,-0.12275551511831581,-0.2883940220157616
1746521840297737500,0.621737548828125,-0.05248422047495842,-0.014096183761209248,-0.30104229025729
1746521840307727400,0.631727294921875,-0.07126958496570587,0.06047456164173781,-0.2744170259211212
1746521840317717200,0.64171728515625,-0.13538345295786858,0.12975370344258844,-0.2706996676321141
1746521840327706400,0.651706298828125,-0.16154899082779883,0.1573024392992258,-0.2825706130919047
1746521840337696300,0.6616962890625,-0.0897159267604351,0.1665801168628037,-0.31019816807210443
1746521840347686400,0.671686279296875,0.01602642117142677,0.16341186209022998,-0.3698809948142618
1746521840357676300,0.68167626953125,0.1328776076167822,0.17592888690121472,-0.42991975885462014
1746521840367666400,0.69166650390625,0.22086393410563468,0.22965828513167796,-0.4716717921087518
1746521840377656600,0.701656494140625,0.20601941619515418,0.17199622362740336,-0.3820990366786718
1746521840387646500,0.711646484375,0.0661135173767805,-0.0072781012441962955,-0.1880572229218669
1746521840397636400,0.72163623046875,-0.061280690392851826,-0.1263786740515381,-0.09435108488094993
1746521840407626500,0.73162646484375,-0.08939093258976936,-0.09631737085208296,-0.014213823358085936
1746521840417616400,0.741616455078125,-0.03250818489491939,-0.01622833695169538,0.028120941687445156
1746521840427606300,0.751606201171875,0.012495324435830115,0.06747519765142351,0.1105593197595328
1746521840437596400,0.761596435546875,-0.07775427080988884,0.09892711495906115,0.1536667314116843
1746521840447586300,0.77158642578125,-0.19440730433464048,0.07628153137620539,0.12439239560514688
1746521840457576200,0.781576171875,-0.24727906282246112,0.025465463309176265,0.06488143656486645
1746521840467566600,0.791566650390625,-0.255384627866745,-0.032356976388581093,0.038550036042160354
1746521840477556500,0.801556396484375,-0.2984656447023153,-0.018157624513842164,0.03309266568541061
1746521840487546400,0.81154638671875,-0.3136334032177925,-0.00170088563375175,0.003421215753490105
1746521840497536500,0.82153662109375,-0.2786550288170576,-0.020442593645863233,-0.046694846251443954
1746521840507526400,0.8315263671875,-0.24564298605322837,-0.06166234665419906,-0.10553637703098356
1746521840517516300,0.841516357421875,-0.22526129228174685,-0.056087834457494316,-0.18059059510193765
1746521840527506400,0.85150634765625,-0.16385259159505366,-0.03270155204255134,-0.24860842999638988
1746521840537496300,0.861496337890625,-0.07616554031372069,-0.034948965643160045,-0.2887913690365851
1746521840547486200,0.871486328125,0.020198153898119926,-0.014989369741268455,-0.30178065100181845
1746521840557476400,0.881476318359375,0.10252689301669597,0.0023146336179226635,-0.2702971329795196
1746521840567466200,0.89146630859375,0.1611158601075411,-0.01569196505267173,-0.2057779721220955
1746521840577456000,0.9014560546875,0.18889935456812382,-0.04936966865099966,-0.17971399493049828
1746521840587446300,0.9114462890625,0.16710837852060795,-0.06544898905344307,-0.13089001399613917
1746521840597436200,0.921436279296875,0.1266547875791788,-0.05259535269923508,-0.057631675499165425
1746521840607426000,0.931426025390625,0.060006432673335074,-0.023508520555123685,-0.02761708381853532
1746521840617416200,0.941416259765625,0.019501403805613517,-0.003159267748519778,0.011653603781526908
1746521840627406300,0.95140625,-0.057873512297868725,0.027076222974061964,0.0002094962985254824
1746521840637396200,0.961396240234375,-0.15283260040879248,0.04014320981800556,-0.05827464044466615
1746521840647385300,0.97138525390625,-0.2143710649549961,0.039157340585812925,-0.08126524720606394
