time,seconds_elapsed,z,y,x
1746521839708329500,0.03232958984375,-0.020974338054656982,0.13588230311870575,0.0468362420797348
1746521839718319400,0.0423193359375,-0.021392881870269775,0.1505257934331894,0.06386826932430267
1746521839728309500,0.0523095703125,-0.02682945877313614,0.15402865409851074,0.07775106281042099
1746521839738299400,0.06229931640625,-0.03387579321861267,0.1482205092906952,0.08638691157102585
1746521839748289300,0.072289306640625,-0.04060640186071396,0.15094998478889465,0.09259846806526184
1746521839758279400,0.082279541015625,-0.0461173877120018,0.1765921264886856,0.10082796216011047
1746521839768269300,0.092269287109375,-0.046264395117759705,0.19500522315502167,0.11161430180072784
1746521839778259200,0.10225927734375,-0.04431532695889473,0.19290414452552795,0.11576467752456665
1746521839788249600,0.11224951171875,-0.04023083671927452,0.17852599918842316,0.11800146847963333
1746521839798238200,0.12223828125,-0.028599824756383896,0.1587500125169754,0.11292480677366257
1746521839808228600,0.132228515625,-0.015733027830719948,0.1347288340330124,0.10019595921039581
1746521839818218500,0.142218505859375,-0.0013390837702900171,0.09634122997522354,0.0755009651184082
1746521839828208400,0.15220849609375,0.006707124877721071,0.058093708008527756,0.04402239993214607
1746521839838198500,0.162198486328125,0.013866434805095196,0.03115752898156643,0.007948444224894047
1746521839848188400,0.1721884765625,0.01346775982528925,0.023664725944399834,-0.023305613547563553
1746521839858178300,0.18217822265625,0.009515475481748581,0.03818105161190033,-0.05202783644199371
1746521839868168400,0.19216845703125,0.0051633380353450775,0.06117717921733856,-0.08133219182491302
1746521839878158300,0.202158447265625,-0.000515030522365123,0.07335297763347626,-0.10351087152957916
1746521839888148200,0.212148193359375,0.0296053197234869,0.15508006513118744,-0.1263141930103302
1746521839898138400,0.222138427734375,0.06034991145133972,0.2995840013027191,-0.1199035793542862
1746521839908128500,0.23212841796875,0.029032470658421516,0.09760905802249908,-0.09374574571847916
1746521839918118400,0.242118408203125,0.007884702645242214,0.032115209847688675,-0.10043756663799286
1746521839928108500,0.252108642578125,0.006710781715810299,0.07088258117437363,-0.12671445310115814
1746521839938098400,0.262098388671875,0.01299376878887415,0.09275676310062408,-0.14671488106250763
1746521839948088300,0.27208837890625,0.017440715804696083,0.06431127339601517,-0.14352893829345703
1746521839958078500,0.282078369140625,0.019258765503764153,0.034457508474588394,-0.1390843540430069
1746521839968068400,0.292068359375,0.018136508762836456,0.02571967802941799,-0.1274159848690033
1746521839978058200,0.302058349609375,0.01539670117199421,0.030087850987911224,-0.10936345160007477
1746521839988048400,0.31204833984375,0.012547651305794716,0.04890467971563339,-0.09815900027751923
1746521839998038300,0.322038330078125,0.024491220712661743,0.25996842980384827,-0.12051920592784882
1746521840008028200,0.332028076171875,0.02983725070953369,0.2911740243434906,-0.13261182606220245
1746521840018018600,0.3420185546875,0.026198476552963257,0.23478907346725464,-0.1419881284236908
1746521840028008400,0.352008544921875,0.010260523296892643,0.19187915325164795,-0.15408767759799957
1746521840037998300,0.361998291015625,-0.0026810176204890013,0.1640688180923462,-0.17001980543136597
1746521840047988500,0.371988525390625,-0.0007369100349023938,0.15082785487174988,-0.17640338838100433
1746521840057978400,0.381978271484375,-0.004377360455691814,0.15713581442832947,-0.16507193446159363
1746521840067967500,0.391967529296875,0.01078854314982891,0.1861640065908432,-0.16077013313770294
1746521840077957400,0.401957275390625,0.02778765745460987,0.1901077926158905,-0.16393710672855377
1746521840087947300,0.411947265625,0.04807641729712486,0.161086767911911,-0.1591854989528656
1746521840097937400,0.4219375,0.0667065754532814,0.11128311604261398,-0.13395090401172638
1746521840107927300,0.43192724609375,0.08702036738395691,0.03907230496406555,-0.09464983642101288
1746521840117917200,0.441917236328125,0.10388102382421494,-0.023285361006855965,-0.053741466253995895
1746521840127907300,0.4519072265625,0.13064472377300262,-0.06465623527765274,-0.020418131723999977
1746521840137897500,0.4618974609375,0.15415027737617493,-0.07643400877714157,0.009757407009601593
1746521840147887400,0.471887451171875,0.16854813694953918,-0.0690634474158287,0.032213181257247925
1746521840157877500,0.48187744140625,0.1664533168077469,-0.04433578625321388,0.04663733392953873
1746521840167867400,0.491867431640625,0.14457306265830994,-0.009427601471543312,0.046332135796546936
1746521840177857300,0.501857177734375,0.11735355108976364,0.017772801220417023,0.02306453138589859
1746521840187847400,0.511847412109375,0.08978557586669922,0.04406805336475372,-0.014447957277297974
1746521840197837300,0.52183740234375,0.07307223230600357,0.04622116684913635,-0.054079242050647736
1746521840207827500,0.531827392578125,0.06758159399032593,0.029198508709669113,-0.0854928195476532
1746521840217817300,0.5418173828125,0.07474416494369507,0.015016642399132252,-0.0950586274266243
1746521840227807200,0.55180712890625,0.08982618153095245,-0.018373804166913033,-0.09204712510108948
1746521840237797400,0.56179736328125,0.1133498102426529,-0.037853918969631195,-0.08749737590551376
1746521840247787500,0.57178759765625,0.13528892397880554,-0.02038145437836647,-0.08564727753400803
1746521840257777400,0.58177734375,0.14916421473026276,0.0322050042450428,-0.08285364508628845
1746521840267767600,0.591767578125,0.15377841889858246,0.08688156306743622,-0.07353417575359344
1746521840277757400,0.60175732421875,0.1459832489490509,0.12334130704402924,-0.06538300216197968
1746521840287747300,0.611747314453125,0.13532981276512146,0.13286477327346802,-0.05188131332397461
1746521840297737500,0.621737548828125,0.11667842417955399,0.10570894181728363,-0.03842649608850479
1746521840307727400,0.631727294921875,0.09000447392463684,0.06308025121688843,-0.01313711702823639
1746521840317717200,0.64171728515625,0.06569087505340576,0.032443251460790634,0.015725422650575638
1746521840327706400,0.651706298828125,0.04252563416957855,0.0335087813436985,0.03354223445057869
