time,seconds_elapsed,z,y,x
1746521903453307000,0.036306884765625,0.3368926982522011,-1.784441284316778,0.04269318656176328
1746521903463296000,0.0462958984375,-0.2423690789490938,-1.5798545312732457,-0.0019080986436456442
1746521903473286000,0.056285888671875,-0.7229933717876672,-1.3976418148621916,-0.023960355975851416
1746521903483275800,0.06627587890625,-1.130061430028081,-1.2576567133277654,-0.056373994455114006
1746521903493266000,0.076265869140625,-1.6088357110857963,-1.177400031242892,-0.24781872265711424
1746521903503255800,0.086255859375,-2.0181571012109516,-1.1664311126567424,-0.5388122779130935
1746521903513246000,0.096245849609375,-2.228258818283677,-1.240661739385128,-0.8135910498186946
1746521903523236000,0.106236083984375,-2.2245868517726657,-1.359382226833701,-0.9454248474709689
1746521903533226000,0.11622607421875,-2.191527462735772,-1.6206480216935275,-0.8794601639803499
1746521903543215900,0.1262158203125,-2.056241624933481,-1.965957689026743,-0.7386543937128037
1746521903553205000,0.136205078125,-1.7162544677972793,-2.3410214202411472,-0.5474637864023447
1746521903563195000,0.14619482421875,-1.2206161457002163,-2.602544550862908,-0.25645492397937925
1746521903573185300,0.156185302734375,-0.7891653413534164,-2.521126496848464,0.08467515611425042
1746521903583175200,0.166175048828125,-0.6325228272676467,-2.2136070464663207,0.43653585252612825
1746521903593165000,0.1761650390625,-0.7592173623353242,-1.9134490647628901,0.6356457815937697
1746521903603155200,0.1861552734375,-1.0934680216461419,-1.5365822296492755,0.6579957066982984
1746521903613145000,0.19614501953125,-1.5464017590045929,-0.8455430621355772,0.46714021309372034
1746521903623135000,0.206135009765625,-2.1686101130068303,-0.06096972474753856,0.1433869093345478
1746521903633125000,0.216125,-2.9581805280297995,0.6507191398240626,-0.22878460756968705
1746521903643114000,0.226114013671875,-3.5702637938588855,1.2979068906515836,-0.4797955869294703
1746521903653104000,0.236104248046875,-3.8000884485334154,1.7962231997862457,-0.617717033932358
1746521903663094000,0.246093994140625,-3.57456353687942,1.9756348873019218,-0.5479304905986413
1746521903673084000,0.256083984375,-2.98013049403131,2.0710056249536573,-0.325507819276303
1746521903683074300,0.26607421875,-2.140879810038209,2.258313764807582,-0.046903534265793856
1746521903693064200,0.276064208984375,-1.1974725859999655,2.399997486953437,0.31523769660927353
1746521903703054000,0.28605419921875,-0.31180501874685285,2.422276538778841,0.6454172340236604
1746521903713044200,0.296044189453125,0.4319394646465778,2.1926633348979054,0.9559685994476079
1746521903723033000,0.306033203125,1.0677677632004021,1.7657143720149993,1.0695444174841047
1746521903733023200,0.316023193359375,1.5792723474711179,1.2984314990475774,1.0440801597513258
1746521903743013000,0.32601318359375,1.9491367564767599,0.9242173703998326,0.9852392637260258
1746521903753003000,0.3360029296875,2.212688324186206,0.6909751623667776,0.9383858887448906
1746521903762993200,0.3459931640625,2.252145889827609,0.5967445346608757,0.92727873073183
1746521903772983000,0.355983154296875,2.054529560318589,0.6316267552107572,0.8356212414495646
1746521903782973000,0.365972900390625,1.677064028659463,0.6911366365388035,0.6698523679044097
1746521903792963000,0.375963134765625,1.1931342645347118,0.6628913697853684,0.5208339554889128
1746521903802952000,0.385951904296875,0.7247662266790866,0.5472558427400886,0.3737088825393468
1746521903812942000,0.395942138671875,0.5084703311413526,0.4278469346359372,0.17118512644022701
1746521903822932200,0.40593212890625,0.6300210735797882,0.32036914121359583,0.03324029856175184
1746521903832922000,0.415922119140625,0.9176075968712568,0.19747619038596748,0.05707790494076907
1746521903842912300,0.425912353515625,1.1883452766925096,0.1416045194298029,0.14420271922945976
1746521903852902100,0.435902099609375,1.545347866037488,0.2030722568273544,0.1376709063079208
1746521903862892000,0.44589208984375,1.9919091457545757,0.26627894684672354,0.18775456844717264
1746521903872882200,0.455882080078125,2.3397791650950905,0.28449089536368843,0.3789657070890069
1746521903882872000,0.4658720703125,2.5441473069518805,0.30052827632054685,0.5544156513668597
1746521903892861200,0.475861083984375,2.6211492980897426,0.25180983811989427,0.6444582527983933
1746521903902851000,0.48585107421875,2.5356682324200865,0.15550971066355704,0.6523633998997509
1746521903912841000,0.495841064453125,2.3251602726340295,-0.03738061323687434,0.6796583801910281
1746521903922831000,0.5058310546875,2.155284767487645,-0.20264847845733164,0.6516487488243728
1746521903932821000,0.515821044921875,2.031310597294569,-0.3265614199824631,0.5404022505182773
1746521903942811100,0.52581103515625,1.9881237819969653,-0.4675779834564775,0.48051885970272123
1746521903952801300,0.53580126953125,1.9342086519360542,-0.6144649002686142,0.4449011644851416
1746521903962791200,0.545791259765625,1.7628730111092328,-0.6938967489019036,0.4722421758752316
1746521903972780300,0.5557802734375,1.5209697961062192,-0.7561006185542791,0.612380202949047
1746521903982770200,0.565770263671875,1.2568489040762185,-0.876276273247227,0.8060864463422447
1746521903992760000,0.575760009765625,1.0196177725374698,-1.0708826072853057,0.9341952321220188
1746521904002750200,0.585750244140625,0.9433207147985696,-1.2171196818865835,0.9368232425380497
1746521904012740000,0.595739990234375,0.8388111235320568,-1.2797766290687025,0.9256736336227506
1746521904022730200,0.605730224609375,0.7079810960948467,-1.377812202015519,0.7137745848044753
1746521904032720100,0.61572021484375,0.48642684163749217,-1.5023647566184402,0.3456571655966341
1746521904042710000,0.6257099609375,0.0701923111230135,-1.4206943352781236,-0.005559753018990159
1746521904052700200,0.6357001953125,-0.15249182414710521,-1.3402433727301657,0.18237514043115077
1746521904062689000,0.64568896484375,-0.4603162488251924,-1.7846981816872953,0.4972662886250764
1746521904072679200,0.65567919921875,-0.9060568598091602,-2.41570505143404,0.3018047259971499
